framework,turn,cumulative_in_mean,cumulative_in_std,per_turn_in_mean
colmena,1,4711.0,0.0,4711.0
colmena,2,7535.3,2152.2,2824.3
colmena,3,10264.6,3236.7,2729.2
colmena,4,16198.9,3001.8,5934.3
colmena,5,17787.6,3012.1,1588.7
colmena,6,21074.0,3498.1,3286.4
colmena,7,24918.2,4296.8,3844.2
colmena,8,31193.6,4651.1,6275.4
colmena,9,35691.5,5518.8,4497.9
colmena,10,37618.8,5602.6,1927.3
langgraph,1,3338.0,0.0,3338.0
langgraph,2,7047.7,22.7,3709.7
langgraph,3,10792.3,45.3,3744.7
langgraph,4,25456.0,13408.7,14663.7
langgraph,5,38587.2,24954.2,13131.2
langgraph,6,115644.4,23049.3,77057.2
langgraph,7,164298.2,23070.6,48653.8
langgraph,8,213000.2,23090.4,48702.0
langgraph,9,332914.2,23111.0,119913.9
langgraph,10,404094.8,23121.4,71180.6
llamaindex,1,3400.0,0.0,3400.0
llamaindex,2,7162.0,10.4,3762.0
llamaindex,3,24053.7,13656.1,16891.7
llamaindex,4,39068.8,25348.0,15015.2
llamaindex,5,54104.0,37048.3,15035.2
llamaindex,6,131147.6,34906.8,77043.6
llamaindex,7,179839.1,34891.7,48691.5
llamaindex,8,228577.6,34879.2,48738.5
llamaindex,9,348708.7,34872.7,120131.1
llamaindex,10,419933.8,34872.9,71225.1
google_adk,1,3351.0,0.0,3351.0
google_adk,2,7188.5,3.1,3837.5
google_adk,3,26412.0,13557.0,19223.5
google_adk,4,54364.1,11571.0,27952.1
google_adk,5,80730.8,11578.7,26366.8
google_adk,6,155926.6,11586.1,75195.8
google_adk,7,204756.2,11589.8,48829.7
google_adk,8,253633.8,11593.5,48877.6
google_adk,9,373974.5,11607.2,120340.7
google_adk,10,445369.6,11614.4,71395.1
langchain,1,3353.0,0.0,3353.0
langchain,2,7006.9,8.8,3653.9
langchain,3,36813.4,49.0,29806.5
langchain,4,62950.5,81.0,26137.1
langchain,5,89115.6,113.1,26165.1
langchain,6,163898.3,195.1,74782.8
langchain,7,212514.2,245.6,48615.8
langchain,8,261175.8,298.9,48661.6
langchain,9,381014.1,400.9,119838.3
langchain,10,452157.7,455.9,71143.6
crewai,1,3362.0,0.0,3362.0
crewai,2,6995.0,14.5,3633.0
crewai,3,36777.5,46.1,29782.5
crewai,4,62914.4,64.5,26136.9
crewai,5,89079.3,82.9,26164.9
crewai,6,163884.2,132.9,74804.9
crewai,7,212520.1,164.9,48635.8
crewai,8,261206.2,196.1,48686.2
crewai,9,381156.4,249.2,119950.2
crewai,10,452358.5,284.6,71202.1
