config,turn,cum_tokens_mean,per_turn_tokens_mean,selection_acc,arg_acc,seeds
colmena-eager,0,5923.4,5923.4,0.8,0.6,5
colmena-eager,1,12727.8,6804.4,1.0,0.8,5
colmena-eager,2,19718.2,6990.4,1.0,1.0,5
colmena-eager,3,26913.6,7195.4,1.0,0.4,5
colmena-eager,4,34338.6,7425,1.0,0.8,5
colmena-eager,5,41966,7627.4,1.0,0.8,5
colmena-eager,6,49773.2,7807.2,1.0,0.8,5
colmena-eager,7,57752.2,7979,1.0,0.8,5
colmena-eager,8,65958.6,8206.4,1.0,1.0,5
colmena-eager,9,74337.2,8378.6,1.0,0.4,5
colmena-lazy,0,5016.6,5016.6,1.0,1.0,5
colmena-lazy,1,11003.8,5987.2,1.0,0.8,5
colmena-lazy,2,17711.6,6707.8,1.0,1.0,5
colmena-lazy,3,25173,7461.4,1.0,0.4,5
colmena-lazy,4,32824.6,7651.6,0.8,0.8,5
colmena-lazy,5,41774,8949.4,1.0,0.8,5
colmena-lazy,6,47948.6,6174.6,1.0,1.0,5
colmena-lazy,7,54063.8,6115.2,1.0,0.8,5
colmena-lazy,8,60324.8,6261,1.0,1.0,5
colmena-lazy,9,66808,6483.2,1.0,0.4,5
crewai,0,60538,60538,0.6,0.4,5
crewai,1,65581.6,5043.6,0.8,0.4,5
crewai,2,71398,5816.4,1.0,1.0,5
crewai,3,77416.4,6018.4,1.0,0.4,5
crewai,4,83640,6223.6,1.0,0.8,5
crewai,5,90064.8,6424.8,1.0,0.8,5
crewai,6,96013.4,5948.6,0.8,0.6,5
crewai,7,102117.8,6104.4,0.8,0.4,5
crewai,8,109089.8,6972,1.0,1.0,5
crewai,9,116263.8,7174,1.0,0.4,5
google_adk,0,58339.4,58339.4,0.6,0.6,5
google_adk,1,63375.6,5036.2,1.0,0.4,5
google_adk,2,68630.8,5255.2,1.0,1.0,5
google_adk,3,74092,5461.2,1.0,0.4,5
google_adk,4,79759.4,5667.4,1.0,0.8,5
google_adk,5,85633.8,5874.4,1.0,0.4,5
google_adk,6,91708.6,6074.8,1.0,1.0,5
google_adk,7,97980.8,6272.2,1.0,0.4,5
google_adk,8,104454.8,6474,1.0,1.0,5
google_adk,9,111134.8,6680,1.0,0.4,5
langchain,0,75714,75714,0.6,0.6,5
langchain,1,80213,4499,0.8,0.4,5
langchain,2,84879.8,4666.8,0.8,0.8,5
langchain,3,89721,4841.2,0.8,0.2,5
langchain,4,95259.8,5538.8,1.0,0.8,5
langchain,5,100998.6,5738.8,1.0,0.4,5
langchain,6,106335.4,5336.8,0.8,0.8,5
langchain,7,112456.6,6121.2,1.0,0.6,5
langchain,8,118775.8,6319.2,1.0,1.0,5
langchain,9,125304.6,6528.8,1.0,0.4,5
langgraph,0,60081.2,60081.2,0.6,0.4,5
langgraph,1,65089,5007.8,1.0,0.4,5
langgraph,2,70309.4,5220.4,1.0,1.0,5
langgraph,3,75740.6,5431.2,1.0,0.4,5
langgraph,4,81376.6,5636,1.0,0.8,5
langgraph,5,87212.6,5836,1.0,0.4,5
langgraph,6,92647.6,5435,0.8,0.6,5
langgraph,7,98869,6221.4,1.0,0.4,5
langgraph,8,105290.2,6421.2,1.0,1.0,5
langgraph,9,111922.2,6632,1.0,0.4,5
llamaindex,0,61309.6,61309.6,0.8,0.8,5
llamaindex,1,66618.6,5309,1.0,0.4,5
llamaindex,2,72096.6,5478,1.0,1.0,5
llamaindex,3,77797.6,5701,1.0,0.4,5
llamaindex,4,83678,5880.4,1.0,0.8,5
llamaindex,5,89157.6,5479.6,0.8,0.4,5
llamaindex,6,94777.6,5620,0.8,0.8,5
llamaindex,7,101169,6391.4,1.0,0.4,5
llamaindex,8,107738.6,6569.6,1.0,1.0,5
llamaindex,9,114514.8,6776.2,1.0,0.4,5
