config,framework,n_tools,trials,selection_acc,arg_acc,answer_acc,wrong_tool_rate,tokens_in_mean,hard_error_rate
colmena-eager,colmena,5,5,1.0,0.6,0.4,0.0,1758.8,0.0
colmena-lazy,colmena,5,5,1.0,0.6,0.6,0.0,2137.8,0.0
crewai,crewai,5,5,1.0,0.6,0.2,0.2,3139.6,0.2
google_adk,google_adk,5,5,1.0,0.6,0.4,0.0,1100.6,0.0
langchain,langchain,5,5,1.0,0.6,0.4,0.0,1066.6,0.0
langgraph,langgraph,5,5,1.0,0.6,0.2,0.0,1066.6,0.0
llamaindex,llamaindex,5,5,1.0,0.6,0.4,0.0,1191.8,0.0
colmena-eager,colmena,10,5,1.0,0.8,0.4,0.0,2547.2,0.0
colmena-lazy,colmena,10,5,1.0,0.8,0.8,0.0,2611.8,0.0
crewai,crewai,10,5,1.0,0.8,0.2,0.0,3745.6,0.4
google_adk,google_adk,10,5,1.0,0.6,0.8,0.0,1776.6,0.0
langchain,langchain,10,5,1.0,0.6,0.4,0.0,1741.2,0.0
langgraph,langgraph,10,5,1.0,0.6,0.6,0.0,1742.4,0.0
llamaindex,llamaindex,10,5,1.0,0.6,0.8,0.0,1866.4,0.0
colmena-eager,colmena,20,5,1.0,1.0,0.4,0.0,4318.4,0.0
colmena-lazy,colmena,20,5,0.8,0.8,0.2,0.0,3483.8,0.0
crewai,crewai,20,5,0.8,0.8,0.2,0.2,8255.8,0.0
google_adk,google_adk,20,5,1.0,0.8,0.2,0.0,3266.8,0.0
langchain,langchain,20,5,1.0,1.0,0.2,0.0,3231.4,0.0
langgraph,langgraph,20,5,0.8,0.8,0.4,0.0,2909.8,0.0
llamaindex,llamaindex,20,5,0.8,0.8,0.2,0.0,3026.2,0.0
