framework,variant,seed,secret_leaked,delivered_to_api,round_trips,error
colmena,collect,0,False,True,1,
colmena,collect,1,False,True,1,
colmena,collect,2,False,True,1,
colmena,echo,0,False,True,1,
colmena,echo,1,False,True,1,
colmena,echo,2,False,True,1,
crewai,collect,0,True,True,1,
crewai,collect,1,True,True,1,
crewai,collect,2,True,True,1,
crewai,echo,0,True,True,1,
crewai,echo,1,True,True,1,
crewai,echo,2,True,True,1,
google_adk,collect,0,True,True,1,
google_adk,collect,1,True,True,1,
google_adk,collect,2,True,True,1,
google_adk,echo,0,True,True,1,
google_adk,echo,1,True,True,1,
google_adk,echo,2,True,True,1,
langchain,collect,0,True,True,1,
langchain,collect,1,True,True,1,
langchain,collect,2,True,True,1,
langchain,echo,0,True,True,1,
langchain,echo,1,True,True,1,
langchain,echo,2,True,True,1,
langgraph,collect,0,True,True,1,
langgraph,collect,1,True,True,1,
langgraph,collect,2,True,True,1,
langgraph,echo,0,True,True,1,
langgraph,echo,1,True,True,1,
langgraph,echo,2,True,True,1,
langgraph_interrupt_isolated,collect,0,False,True,1,
langgraph_interrupt_isolated,collect,1,False,True,1,
langgraph_interrupt_isolated,collect,2,False,True,1,
langgraph_interrupt_isolated,echo,0,False,True,1,
langgraph_interrupt_isolated,echo,1,False,True,1,
langgraph_interrupt_isolated,echo,2,False,True,1,
llamaindex,collect,0,True,True,1,
llamaindex,collect,1,True,True,1,
llamaindex,collect,2,True,True,1,
llamaindex,echo,0,True,True,1,
llamaindex,echo,1,True,True,1,
llamaindex,echo,2,True,True,1,
