strategy,variant,framework,n,tokens_in_mean,tokens_in_std,tokens_out_mean,accuracy_mean,usd_mean,ok_rate
expert,S,colmena,3,75822.3,12407.9,5000.7,0.9667,0.035248,1.0
expert,S,crewai,3,72559,0.0,3104,1.0,0.029528,1.0
expert,S,google_adk,3,37210,182.8,3994.3,0.9833,0.021149,1.0
expert,S,langchain,3,36249,0.0,7577.3,1.0,0.029818,1.0
expert,S,langgraph,3,36249,0.0,6583.3,1.0,0.027333,1.0
expert,S,llamaindex,3,70304,2120.0,4509.7,0.9667,0.032365,1.0
expert,M,colmena,3,78358.7,1617.2,5928,0.9333,0.038328,1.0
expert,M,crewai,3,73043,0.0,4463,1.0,0.03307,1.0
expert,M,google_adk,3,37651.3,235.0,4493.3,0.9833,0.022529,1.0
expert,M,langchain,2,36549,0.0,5871,1.0,0.025642,1.0
expert,M,langgraph,3,36549,0.0,5849.3,1.0,0.025588,1.0
expert,M,llamaindex,3,74332.7,4607.8,5940.7,0.9833,0.037151,1.0
expert,L,colmena,3,79082.7,2461.7,5899,0.9667,0.038472,1.0
expert,L,crewai,2,73348,0.0,3892,1.0,0.031734,1.0
expert,L,google_adk,3,38042,299.6,5150.7,1.0,0.024289,1.0
expert,L,langchain,3,37379.3,151.0,3612.3,1.0,0.020245,1.0
expert,L,langgraph,2,37207,239.0,5873.5,1.0,0.025846,1.0
expert,L,llamaindex,3,72678.7,5503.9,6198.7,1.0,0.0373,1.0
naive,S,colmena,1,33611,0.0,64123,0.25,0.170391,1.0
naive,S,crewai,2,33673,0.0,37382,0.225,0.103557,1.0
naive,S,google_adk,1,33641,0.0,64086,0.25,0.170307,1.0
naive,S,langchain,1,33612,0.0,38476,0.25,0.106274,1.0
naive,S,langgraph,2,33612,0.0,51335.5,0.25,0.138422,1.0
naive,S,llamaindex,2,33612,0.0,64195,0.25,0.170571,1.0
naive,M,colmena,1,330607,0.0,64156,0.2,0.259572,1.0
naive,M,crewai,1,330669,0.0,64155,0.2,0.259588,1.0
naive,M,google_adk,1,330637,0.0,65532,0.0,0.263021,0.0
naive,M,langchain,1,330608,0.0,64174,0.15,0.259617,1.0
naive,M,langgraph,1,330608,0.0,64174,0.15,0.259617,1.0
naive,M,llamaindex,1,330608,0.0,64174,0.15,0.259617,1.0
